cat,형식,질문수,결론노출,답변,답변율(결론 기준)
가치관,개념·가치형,29,41,18,0.43902439024390244
가치관,기타,2,3,2,0.6666666666666666
가치관,상상형,20,29,17,0.5862068965517241
가치관,선호(최애)형,7,10,3,0.3
가치관,성향·습관형,36,52,29,0.5576923076923077
가치관,양자택일형,142,219,124,0.5662100456621004
가치관,인물 지목형,4,7,2,0.2857142857142857
가치관,일화 회상형,30,45,24,0.5333333333333333
감정,개념·가치형,10,27,13,0.48148148148148145
감정,기타,7,26,7,0.2692307692307692
감정,상상형,5,19,14,0.7368421052631579
감정,선호(최애)형,7,26,12,0.46153846153846156
감정,성향·습관형,40,144,86,0.5972222222222222
감정,양자택일형,11,45,23,0.5111111111111111
감정,인물 지목형,1,2,2,1.0
감정,일화 회상형,49,177,77,0.4350282485875706
관계,개념·가치형,9,13,5,0.38461538461538464
관계,기타,8,6,0,0.0
관계,상상형,5,6,4,0.6666666666666666
관계,선호(최애)형,1,3,0,0.0
관계,성향·습관형,51,58,24,0.41379310344827586
관계,양자택일형,33,43,20,0.46511627906976744
관계,인물 지목형,25,38,14,0.3684210526315789
관계,일화 회상형,18,16,4,0.25
루틴,개념·가치형,5,7,2,0.2857142857142857
루틴,기타,4,4,1,0.25
루틴,상상형,2,3,0,0.0
루틴,선호(최애)형,6,13,8,0.6153846153846154
루틴,성향·습관형,85,136,60,0.4411764705882353
루틴,양자택일형,15,25,16,0.64
루틴,일화 회상형,20,24,7,0.2916666666666667
사랑,개념·가치형,16,30,13,0.43333333333333335
사랑,상상형,1,2,2,1.0
사랑,선호(최애)형,7,13,7,0.5384615384615384
사랑,성향·습관형,19,30,17,0.5666666666666667
사랑,양자택일형,31,61,39,0.639344262295082
사랑,인물 지목형,1,2,1,0.5
사랑,일화 회상형,10,12,4,0.3333333333333333
취향,개념·가치형,1,4,2,0.5
취향,기타,1,11,4,0.36363636363636365
취향,상상형,11,69,30,0.43478260869565216
취향,선호(최애)형,41,244,147,0.6024590163934426
취향,성향·습관형,20,111,57,0.5135135135135135
취향,양자택일형,15,99,46,0.46464646464646464
취향,인물 지목형,1,5,3,0.6
취향,일화 회상형,13,68,19,0.27941176470588236
